n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.07203191723501283
100,64,8,0.005,0.07113416808751045
100,128,8,0.005,0.07113416808751045
100,256,8,0.005,0.07113416808751045
500,32,8,0.005,0.01915737939294784
500,64,8,0.005,0.017212401573574468
500,128,8,0.005,0.017121307412220108
500,256,8,0.005,0.017121307412220108
1000,32,8,0.005,0.008765414740927928
1000,64,8,0.005,0.0073275564379543115
1000,128,8,0.005,0.007299187820675822
1000,256,8,0.005,0.007299187820675822
2500,32,8,0.005,0.005503632508880544
2500,64,8,0.005,0.005107795154286198
2500,128,8,0.005,0.005055521089785968
2500,256,8,0.005,0.005055521089785968
5000,32,8,0.005,0.004963642493110294
5000,64,8,0.005,0.0047406574818361445
5000,128,8,0.005,0.004727749159292983
5000,256,8,0.005,0.004727749159292983
100,32,16,0.005,0.07203191723501283
100,64,16,0.005,0.07100046477596487
100,128,16,0.005,0.07100046477596487
100,256,16,0.005,0.07100046477596487
500,32,16,0.005,0.019220828377079092
500,64,16,0.005,0.017493464515155766
500,128,16,0.005,0.017015829736503372
500,256,16,0.005,0.017015829736503372
1000,32,16,0.005,0.008591299615149154
1000,64,16,0.005,0.0076228924327303
1000,128,16,0.005,0.006994313009799389
1000,256,16,0.005,0.006994313009799389
2500,32,16,0.005,0.005407208799688144
2500,64,16,0.005,0.0051714147132856615
2500,128,16,0.005,0.004941013577161011
2500,256,16,0.005,0.004941013577161011
5000,32,16,0.005,0.004933343031630148
5000,64,16,0.005,0.004871529322628876
5000,128,16,0.005,0.004658032121612137
5000,256,16,0.005,0.004658032121612137
100,32,32,0.005,0.07203191723501283
100,64,32,0.005,0.07100046477596487
100,128,32,0.005,0.07100046477596487
100,256,32,0.005,0.07100046477596487
500,32,32,0.005,0.019220828377079092
500,64,32,0.005,0.017489542009541274
500,128,32,0.005,0.017029849295490958
500,256,32,0.005,0.017029849295490958
1000,32,32,0.005,0.008591299615149154
1000,64,32,0.005,0.007575558907708046
1000,128,32,0.005,0.007000737727636215
1000,256,32,0.005,0.007000737727636215
2500,32,32,0.005,0.005348147476116251
2500,64,32,0.005,0.005076588657391772
2500,128,32,0.005,0.0049069147079315876
2500,256,32,0.005,0.0049069147079315876
5000,32,32,0.005,0.00488067517033941
5000,64,32,0.005,0.004752945195633383
5000,128,32,0.005,0.004643939284219233
5000,256,32,0.005,0.004643939284219233
100,32,64,0.005,0.07203191723501283
100,64,64,0.005,0.07100046477596487
100,128,64,0.005,0.07100046477596487
100,256,64,0.005,0.07100046477596487
500,32,64,0.005,0.019220828377079092
500,64,64,0.005,0.017489542009541274
500,128,64,0.005,0.017029849295490958
500,256,64,0.005,0.017029849295490958
1000,32,64,0.005,0.008591299615149154
1000,64,64,0.005,0.007575558907708046
1000,128,64,0.005,0.007000737727636215
1000,256,64,0.005,0.007000737727636215
2500,32,64,0.005,0.005348147476116251
2500,64,64,0.005,0.005076588657391772
2500,128,64,0.005,0.004895926824398582
2500,256,64,0.005,0.004895926824398582
5000,32,64,0.005,0.00488067517033941
