n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06943689563776222
100,64,8,0.005,0.06820308641320807
100,128,8,0.005,0.06715719271754964
100,256,8,0.005,0.0669724792696497
500,32,8,0.005,0.01744927147711951
500,64,8,0.005,0.015199175519751452
500,128,8,0.005,0.013624721034679528
500,256,8,0.005,0.013260295377865897
1000,32,8,0.005,0.0068633821541468215
1000,64,8,0.005,0.005461478829136283
1000,128,8,0.005,0.004349327193519168
1000,256,8,0.005,0.004136224448444331
2500,32,8,0.005,0.0035589049804745283
2500,64,8,0.005,0.0029711109980288994
2500,128,8,0.005,0.002734254091867812
2500,256,8,0.005,0.0026516232407077195
5000,32,8,0.005,0.0029504310935844105
5000,64,8,0.005,0.0026612235687981847
5000,128,8,0.005,0.0025393224717367322
5000,256,8,0.005,0.002461131578108629
100,32,16,0.005,0.06943689563776222
100,64,16,0.005,0.06824908842950753
100,128,16,0.005,0.06720356168885937
100,256,16,0.005,0.06685373392144581
500,32,16,0.005,0.0174552842643173
500,64,16,0.005,0.0152861153597207
500,128,16,0.005,0.01390418138607998
500,256,16,0.005,0.01321711479744287
1000,32,16,0.005,0.0067896272823262955
1000,64,16,0.005,0.0054326075773500505
1000,128,16,0.005,0.0046076828944643005
1000,256,16,0.005,0.0040877103768268055
2500,32,16,0.005,0.003543942449843522
2500,64,16,0.005,0.0029426628024693435
2500,128,16,0.005,0.0027083128439445445
2500,256,16,0.005,0.002515337647576705
5000,32,16,0.005,0.0029182125484656105
5000,64,16,0.005,0.0025858535000697976
5000,128,16,0.005,0.0025290479674761456
5000,256,16,0.005,0.002398367474462077
100,32,32,0.005,0.06943689563776222
100,64,32,0.005,0.06824908842950753
100,128,32,0.005,0.06720356168885937
100,256,32,0.005,0.06685373392144581
500,32,32,0.005,0.0174552842643173
500,64,32,0.005,0.0152861153597207
500,128,32,0.005,0.013879371758695752
500,256,32,0.005,0.013213882835984311
1000,32,32,0.005,0.0067896272823262955
1000,64,32,0.005,0.005464155278120188
1000,128,32,0.005,0.004572544613770488
1000,256,32,0.005,0.004093566431668854
2500,32,32,0.005,0.0035326306878855048
2500,64,32,0.005,0.0029635273813956894
2500,128,32,0.005,0.002698386281821791
2500,256,32,0.005,0.00253478907676003
5000,32,32,0.005,0.0029189735354636375
5000,64,32,0.005,0.002604216955342932
5000,128,32,0.005,0.0025200826535031035
5000,256,32,0.005,0.0023998982868027796
100,32,64,0.005,0.06943689563776222
100,64,64,0.005,0.06824908842950753
100,128,64,0.005,0.06720356168885937
100,256,64,0.005,0.06685373392144581
500,32,64,0.005,0.0174552842643173
500,64,64,0.005,0.0152861153597207
500,128,64,0.005,0.013879371758695752
500,256,64,0.005,0.013213882835984311
1000,32,64,0.005,0.0067896272823262955
1000,64,64,0.005,0.005464155278120188
1000,128,64,0.005,0.004572544613770488
1000,256,64,0.005,0.0040681680294618145
2500,32,64,0.005,0.0035326306878855048
2500,64,64,0.005,0.0029635273813956894
2500,128,64,0.005,0.0026986732875513932
2500,256,64,0.005,0.0025390200993755567
5000,32,64,0.005,0.0029189735354636375
5000,64,64,0.005,0.002604216955342932
5000,128,64,0.005,0.0024955535089760056
5000,256,64,0.005,0.0023778719683024826
100,32,8,0.01,0.046732835133758754
100,64,8,0.01,0.04469226886412996
100,128,8,0.01,0.04315286857859712
100,256,8,0.01,0.042908180128911386
500,32,8,0.01,0.006939789728799773
500,64,8,0.01,0.0055266640130145405
500,128,8,0.01,0.00436060002002267
500,256,8,0.01,0.0042008875083809835
1000,32,8,0.01,0.003983729240945974
1000,64,8,0.01,0.0032121652348925294
1000,128,8,0.01,0.0028817920802011753
1000,256,8,0.01,0.002812975871827402
2500,32,8,0.01,0.0030485844518422555
2500,64,8,0.01,0.0026843700116317196
2500,128,8,0.01,0.002552315850692013
2500,256,8,0.01,0.002493918457270212
5000,32,8,0.01,0.002747985466389082
5000,64,8,0.01,0.0025166391579049805
5000,128,8,0.01,0.0024269610931546086
5000,256,8,0.01,0.0024031717980273976
100,32,16,0.01,0.0467523602945271
100,64,16,0.01,0.044707004897271405
100,128,16,0.01,0.04338980270663479
100,256,16,0.01,0.04265524857245884
500,32,16,0.01,0.006876441754224617
500,64,16,0.01,0.00546101353394969
500,128,16,0.01,0.0046609136260673065
500,256,16,0.01,0.004104534862482734
1000,32,16,0.01,0.004029365635283259
1000,64,16,0.01,0.0031502762745972634
1000,128,16,0.01,0.002897745311831332
1000,256,16,0.01,0.0026707124361506685
2500,32,16,0.01,0.0030159308788261256
2500,64,16,0.01,0.0026058092557480267
2500,128,16,0.01,0.0025235055359089788
2500,256,16,0.01,0.0024560208053004766
5000,32,16,0.01,0.0026642973549290756
5000,64,16,0.01,0.0024067878946661685
5000,128,16,0.01,0.0024184380372974197
5000,256,16,0.01,0.002367190040345035
100,32,32,0.01,0.0467523602945271
100,64,32,0.01,0.044707004897271405
100,128,32,0.01,0.04338980270663479
100,256,32,0.01,0.04265524857245884
500,32,32,0.01,0.006876441754224617
500,64,32,0.01,0.0054862859150733865
500,128,32,0.01,0.004660225580231609
500,256,32,0.01,0.004069613403703213
1000,32,32,0.01,0.004029365635283259
1000,64,32,0.01,0.0031501147531207687
1000,128,32,0.01,0.0028532040157903628
1000,256,32,0.01,0.0026523123623552816
2500,32,32,0.01,0.003003218752759466
2500,64,32,0.01,0.0026131143822226647
2500,128,32,0.01,0.0024860988167518376
2500,256,32,0.01,0.00242866219658008
5000,32,32,0.01,0.002677815805525688
5000,64,32,0.01,0.002427028136550985
5000,128,32,0.01,0.00235320709944414
5000,256,32,0.01,0.002331222810460921
100,32,64,0.01,0.0467523602945271
100,64,64,0.01,0.044707004897271405
100,128,64,0.01,0.04338980270663479
100,256,64,0.01,0.04265524857245884
500,32,64,0.01,0.006876441754224617
500,64,64,0.01,0.0054862859150733865
500,128,64,0.01,0.004660225580231609
500,256,64,0.01,0.00407560682191289
1000,32,64,0.01,0.004029365635283259
1000,64,64,0.01,0.0031501147531207687
1000,128,64,0.01,0.0028532040157903628
1000,256,64,0.01,0.0026454985103798673
2500,32,64,0.01,0.003003218752759466
2500,64,64,0.01,0.0026131143822226647
2500,128,64,0.01,0.0024944261084532847
2500,256,64,0.01,0.0024306435711779965
5000,32,64,0.01,0.002677815805525688
5000,64,64,0.01,0.002427028136550985
5000,128,64,0.01,0.0023573069427707703
5000,256,64,0.01,0.0023296145396575316
100,32,8,0.05,0.007387390462888438
100,64,8,0.05,0.005799785888606757
100,128,8,0.05,0.0046235350740296945
100,256,8,0.05,0.004535078480878184
500,32,8,0.05,0.0035725195632347515
500,64,8,0.05,0.003253185815295797
500,128,8,0.05,0.0030218968341771887
500,256,8,0.05,0.003058980428534113
1000,32,8,0.05,0.003239429383665235
1000,64,8,0.05,0.0030608353019637427
1000,128,8,0.05,0.0028954668456855756
